Day,Platform,Theme,Caption,Hashtags,Recommended Image Idea
1,Facebook,Web Design,"Is your website bringing you new leads, or just sitting there collecting digital dust? At eT Tech, we build blazing-fast, gorgeous websites that rank on Google and turn local traffic into paying customers. The best part? They start at just $99. Let's get your business on the map today! #SmallBusiness #WebDesign #LocalSEO #GrowYourBusiness","Screenshot of your new website or the promo_image_web.png"
2,LinkedIn,Tech Audit,"Most local businesses are losing thousands of dollars a month because of outdated tech. Missed calls, 10 different expensive software subscriptions, and messy spreadsheets are draining your profit. eT Tech offers a FREE tech audit to consolidate your tools and save you hundreds a month. Let's talk. #TechAudit #BusinessGrowth #Automation #ITConsulting","Picture of a messy desk vs a clean desk"
3,Nextdoor,Automated Follow-ups,"Hey neighbors! Are you a local service provider? Plumber, electrician, landscaper? If you're on a ladder and miss a call, that customer just called the next guy on Google. You just lost a $500 job. Our Automated Follow-Up system instantly texts missed calls back. Secure every lead. Message us to set it up! #LocalBusiness #SupportLocal #LeadGen","promo_image_automate.png"
4,Twitter,E-Commerce,"Want to sell online but don't know where to start? We build and manage high-converting digital storefronts that handle inventory and payments effortlessly. Let eT Tech build your digital empire. 🛒💻 #Ecommerce #Shopify #TechSolutions","Picture of a digital storefront or products"
5,Facebook,Price Transparency,"Tech companies love to hide their pricing until you're on a sales call. Not us. At eT Tech, we believe in complete transparency. Our custom websites start at $99. Period. No hidden fees. Stop paying thousands for something we can build better, faster, and cheaper. #TransparentPricing #SmallBizTech #WebDevelopment","Graphic with $99 prominent"
6,LinkedIn,Enterprise AS400,"Attention Enterprise Leaders: Are you struggling with IBM i / AS400 modernization? Our global team of experts specializes in AS400 modernization, MIMIX HA & DR, and Full Stack Java software solutions. Secure your legacy infrastructure with eT Tech today. #IBMi #AS400 #EnterpriseIT #MIMIX","Server room or enterprise graphic"
7,Instagram,Testimonial,"""I didn't realize how much business I was losing until eT Tech set up their automated text follow-up. Now, if I miss a call, the customer gets a text instantly. It paid for itself in one day!"" - A happy local roofer. Let us do the same for you! #Testimonial #CustomerSuccess #Automation","Image of a 5-star review"
8,Nextdoor,Local SEO,"Is your business hiding on page 5 of Google? If you aren't in the top 3 spots, you are losing money to your competitors every single day. We specialize in Local SEO to push your business to the top. Call us at (346) 382-5020 for a free consultation. #LocalSEO #Marketing #NextdoorBusiness","Google Maps screenshot showing a #1 ranking"
9,Facebook,Consolidation,"Are you paying monthly for Mailchimp, Calendly, QuickBooks, Square, and a CRM... but none of them talk to each other? Let eT Tech consolidate your software. We save our clients hundreds a month and automate their workflow. Work smarter, not harder. #Workflow #Automation #TechCleanup","Graphic of chaotic logos turning into one"
10,Twitter,Speed,"Did you know 53% of mobile users abandon a site that takes longer than 3 seconds to load? Speed is money. We build blazing-fast websites that load instantly. Don't lose customers to slow tech. #WebSpeed #TechStats #BusinessTips","Speedometer graphic"
11,LinkedIn,Women Owned,"eT Tech is a proudly Women-Owned Business. We are committed to delivering cutting-edge enterprise and small business tech solutions globally. We believe in empowering businesses through technology. #WomenInTech #WBE #DiversityInTech #BusinessLeadership","Photo of the founders or women in tech"
12,Facebook,Free Quote,"Don't know what tech you need? No problem. eT Tech offers a FREE, no-obligation estimate. Tell us your pain points, and we'll reply with a custom quote within 24 hours. Click the link in our bio to get started! #FreeQuote #TechConsulting #SmallBiz","Picture of someone smiling on a phone"
13,Nextdoor,Community,"We love helping our local community thrive! Strong small businesses make a strong neighborhood. If your business is struggling with technology, reach out to eT Tech. We have affordable solutions designed specifically for you. #CommunityFirst #ShopLocal #TechSupport","Local community photo"
14,Instagram,Behind The Scenes,"Building the next great E-commerce storefront for a local client! We handle everything from the design to the payment processing setup. You handle the business, we handle the tech. #BehindTheScenes #ShopifyExpert #WebDesign","Photo of code or design mockups on a screen"
15,Twitter,Automation Tip,"Tech Tip Tuesday: Automate your calendar! Stop playing email ping-pong to find a meeting time. Let eT Tech set up an automated booking system that syncs directly with your Google Calendar. #TechTip #Productivity #Automation","Calendar icon graphic"
16,LinkedIn,MIMIX,"Is your disaster recovery plan actually ready for a disaster? eT Tech provides expert MIMIX HA & DR consulting to ensure your critical IBM i systems are always protected and available. Let's discuss your HA strategy. #DisasterRecovery #HighAvailability #ITConsulting","Data center graphic"
17,Facebook,Website ROI,"Your website shouldn't be an expense. It should be your best salesperson. If your website isn't actively generating leads and making you money, it's time for an upgrade. eT Tech builds websites with ROI in mind. #ROI #MarketingStrategy #LeadGeneration","Chart showing upward growth"
18,Nextdoor,Missed Calls,"Did you know that 85% of people whose calls are not answered will not call back? They will just call your competitor. Our missed-call text back system fixes this instantly. Message us to learn how! #SmallBusinessTips #CustomerService #GrowLocal","Phone ringing graphic"
19,Instagram,E-commerce Tip,"Selling online? Make sure your checkout process is less than 3 steps. Every extra step loses you 10% of your customers. Need help optimizing? eT Tech builds frictionless digital storefronts. #EcommerceTips #OnlineSelling #ConversionRate","Shopping cart icon"
20,Twitter,Legacy Tech,"Stop letting legacy technology hold your business back. It's time to modernize. Whether it's AS400 or an outdated CRM, eT Tech has the expertise to bring you into the future safely and securely. #DigitalTransformation #TechModernization","Futuristic tech graphic"
21,LinkedIn,Java Consulting,"Need robust, scalable software? Our global team of Full Stack Java developers builds enterprise-grade applications that power your business forward. From architecture to deployment, eT Tech has you covered. #JavaDev #SoftwareEngineering #EnterpriseTech","Code on a dark screen"
22,Facebook,Weekend,"You should be enjoying your weekend, not fighting with your business software. Let eT Tech automate your workflow so you can reclaim your time. The tech works 24/7 so you don't have to. #WorkLifeBalance #Automation #SmallBiz","Relaxing weekend photo"
23,Nextdoor,Local Experts,"Why hire an expensive agency when you have tech experts right in your neighborhood? eT Tech provides enterprise-level technology at small business prices. Let's grow together. #LocalExpert #TechServices #NeighborhoodBusiness","Handshake photo"
24,Instagram,Did You Know,"Did you know? Consistent branding across all your digital platforms increases revenue by 23%. Let eT Tech ensure your website, social media, and SEO all tell the same powerful story. #Branding #DigitalMarketing #FunFact","Brand consistency graphic"
25,Twitter,Security,"Small businesses are the #1 target for cyberattacks because they often lack proper tech security. Let eT Tech audit your systems and secure your data before it's too late. #CyberSecurity #TechAudit #ProtectYourBusiness","Padlock graphic"
26,LinkedIn,Partnership,"At eT Tech, we don't just build software. We build partnerships. We work closely with our enterprise clients to understand their unique challenges and deliver custom IBM i and Java solutions that drive real results. #BusinessPartnership #TechConsulting #B2B","Professional meeting photo"
27,Facebook,Starting a Business,"Starting a new business? Don't get bogged down in the tech setup. eT Tech can handle your domain registration, website design, email setup, and CRM configuration all for one low price. Start strong! #Entrepreneur #Startup #BusinessLaunch","Rocket ship graphic"
28,Nextdoor,Special Offer,"Nextdoor Exclusive! Mention this post when you contact eT Tech and get a FREE comprehensive Tech Audit (a $300 value). We'll analyze your website, SEO, and software stack and give you a roadmap for growth. #SpecialOffer #FreeAudit #NextdoorDeal","Gift box icon"
29,Instagram,Transformation,"Before eT Tech: Messy spreadsheets, missed calls, slow website. After eT Tech: Automated workflows, instant text follow-ups, #1 on Google. Ready for your transformation? Link in bio! #BeforeAndAfter #BusinessGrowth #TechSolutions","Before and After graphic"
30,LinkedIn,Future Proof,"The technology landscape is changing faster than ever. Is your business ready for the AI revolution? eT Tech helps companies implement practical AI solutions to stay ahead of the curve. Future-proof your business today. #ArtificialIntelligence #FutureOfWork #Innovation","AI / futuristic abstract graphic"
